exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,rssv_tbPMP_exact_vns_sol,rssv_tbPMP_exact_vns_time
238284444.338007420301437,44.420391082763672,238284444.338007420301437,57.661098957061768,264920106.688118696212769,34.705003023147583,79290266.110782414674759,604.805711984634399
238284444.338007420301437,86.296599149703979,238284444.338007420301437,84.929389953613281,127850842.453737974166870,46.533742904663086,79290266.110782414674759,642.987926959991455
238284444.338007420301437,85.192464828491211,238284444.338007420301437,102.643985986709595,127850842.453737974166870,58.156548976898193,83520389.698611930012703,692.895117044448853
238284444.338007420301437,136.066453933715820,238284444.338007420301437,126.912235975265503,127850842.453737974166870,80.742985010147095,88683990.012015596032143,740.661849975585938
238284444.338007420301437,166.965092897415161,117984691.578817456960678,170.975170135498047,102239139.053908035159111,118.616149902343750,80800568.130881801247597,790.145406007766724
238284444.338007420301437,205.278450012207031,117984691.578817456960678,209.333559036254883,88126739.029520556330681,142.091253995895386,100050103.490854188799858,837.808111906051636
117984691.578817456960678,273.056648969650269,117984691.578817456960678,287.607019186019897,88126739.029520556330681,183.810868978500366,114926398.863460466265678,876.279561996459961
117984691.578817456960678,348.362891912460327,108918377.701753675937653,406.155730962753296,79290266.110782474279404,261.085226058959961,79290266.110782414674759,914.996556043624878
117984691.578817456960678,486.051553010940552,97498258.810896873474121,586.619023084640503,79290266.110782474279404,498.370831966400146,109337677.465625807642937,955.870440959930420
108918377.701753675937653,670.719871997833252,97498258.810896873474121,627.027538061141968,79290266.110782474279404,658.604290008544922,128132932.812138453125954,1008.030431032180786
100079245.457949489355087,928.642953872680664,97498258.810896873474121,713.153244972229004,79290266.110782474279404,733.027997970581055,79290266.110782414674759,1047.234753847122192
100079245.457949489355087,1015.483227968215942,97498258.810896873474121,986.455450057983398,79290266.110782474279404,855.335211992263794,79290266.110782414674759,1086.279216051101685
100079245.457949489355087,1133.336732864379883,97498258.810896873474121,1218.747449159622192,79290266.110782474279404,938.738259077072144,79290266.110782414674759,1125.553304910659790
100079245.457949489355087,1361.068944931030273,97498258.810896873474121,1523.538447141647339,79290266.110782474279404,1317.467705965042114,161355753.269248098134995,1159.314872980117798
100079245.457949489355087,1690.338471889495850,97498258.810896873474121,1984.395821094512939,79290266.110782474279404,1525.469579935073853,79290266.110782414674759,1197.882436990737915
100079245.457949489355087,2053.486341953277588,97498258.810896873474121,2288.561300039291382,79290266.110782474279404,1745.266386985778809,82171397.882532015442848,1241.478275060653687
100079245.457949489355087,2598.672213792800903,97498258.810896873474121,3048.569298028945923,79290266.110782474279404,2049.476641893386841,83534279.732960969209671,1289.768404960632324
100079245.457949489355087,3020.377936840057373,97498258.810896858572960,3600,79290266.110782474279404,2437.135950088500977,87151926.579336524009705,1339.009989976882935
100079245.457949489355087,3851.752439022064209,,,79088218.124694287776947,2920.327456951141357,90471897.257217928767204,1388.303287982940674
100079245.457949489355087,4625.253695011138916,,,74455233.126443654298782,3314.655148029327393,87141365.138259232044220,1438.856132984161377
100079245.457949489355087,5253.618599891662598,,,74455233.126443848013878,3620,79290266.110782414674759,1477.399754047393799
77355879.353054553270340,7809.311859846115112,,,,,79290266.110782414674759,1516.029798030853271
74831950.253114521503448,8782.541129827499390,,,,,79290266.110782414674759,1554.730795860290527
74831950.253114521503448,10161.988376855850220,,,,,166805709.206324577331543,1584.040302991867065
71059245.617234662175179,11623.573405981063843,,,,,79290266.110782414674759,1623.633291006088257
71059245.617234662175179,15519.315792798995972,,,,,79290266.110782414674759,1662.900050878524780
71059245.617234662175179,17827.902963876724243,,,,,79290266.110782414674759,1702.120668888092041
71059245.617234662175179,20529.892965793609619,,,,,79290266.110782414674759,1741.465798854827881
71059245.617234662175179,23154.106580018997192,,,,,82030823.771702125668526,1789.923645973205566
71059245.617234662175179,26231.517151832580566,,,,,79600100.230536833405495,1839.089926958084106
71059245.617234662175179,27899.453913927078247,,,,,94378053.945665270090103,1887.734274864196777
71059245.617234662175179,29375.726391792297363,,,,,84116287.839219123125076,1937.523686885833740
71059245.617234662175179,32156.365154981613159,,,,,114877956.105949312448502,1985.225963830947876
71059245.617234662175179,35737.957195997238159,,,,,79290266.110782414674759,2024.004878044128418
71059245.617234662175179,38314.103704929351807,,,,,105466900.754909053444862,2068.879050016403198
71059245.617234662175179,40369.800544023513794,,,,,107667595.777913883328438,2113.876947879791260
71059245.617234662175179,41933.504817962646484,,,,,79290266.110782414674759,2152.450150012969971
71059245.617234662175179,43760.885097026824951,,,,,144274988.612255007028580,2182.038424015045166
71059245.617234662175179,45968.070891857147217,,,,,79290266.110782414674759,2220.635225057601929
71059245.617234662175179,48562.454231023788452,,,,,79290266.110782414674759,2263.534029960632324
71059245.617234662175179,50456.693938016891479,,,,,79290266.110782414674759,2306.958757877349854
71059245.617234662175179,53118.961628913879395,,,,,79278496.316189020872116,2355.528497934341431
71059245.617234662175179,54212.190871953964233,,,,,81541515.836957946419716,2410.360275030136108
67835508.869489207863808,62413.470409870147705,,,,,81451008.835943147540092,2464.341640949249268
67835508.869489207863808,62422.321786880493164,,,,,82237403.497946754097939,2522.099148988723755
67835508.869489207863808,63088.195510864257812,,,,,85476892.093470573425293,2577.275403022766113
67835508.869489207863808,74092.677793025970459,,,,,95684609.129331380128860,2629.872339963912964
67835508.869489207863808,81569.052312850952148,,,,,96245709.729963064193726,2680.338739871978760
67835508.869489207863808,89175.821287870407104,,,,,134763571.929104566574097,2712.860354900360107
67835508.869489207863808,104736.973186969757080,,,,,79278496.316189020872116,2753.651721000671387
67835508.869489207863808,107664.331512928009033,,,,,79278496.316189020872116,2792.312811851501465
67835508.869489207863808,142099.305567026138306,,,,,79278496.316189020872116,2831.062974929809570
67818164.818767219781876,147887.264277935028076,,,,,79278496.316189020872116,2869.580746889114380
67818164.818767219781876,152231.693341970443726,,,,,79278496.316189020872116,2908.072587966918945
67818164.818767219781876,210825.813421964645386,,,,,81034169.092653676867485,2957.059713840484619
67818164.818767219781876,230398.672299861907959,,,,,79278496.316189020872116,2995.361520051956177
67818164.818767219781876,255492.661182880401611,,,,,83441028.428608834743500,3046.009918928146362
67818164.818767219781876,278591.129289865493774,,,,,99790225.171688914299011,3078.503383874893188
67818164.818767219781876,337665.925571918487549,,,,,99529829.815089240670204,3127.081743001937866
,,,,,,79278496.316189020872116,3165.799268007278442
,,,,,,105986676.427826508879662,3209.592718839645386
,,,,,,79278496.316189020872116,3248.250525951385498
,,,,,,131315094.284814327955246,3278.210201978683472
,,,,,,79278496.316189020872116,3316.964546918869019
,,,,,,164360464.097502261400223,3345.710824012756348
,,,,,,79278496.316189020872116,3385.044642925262451
,,,,,,79278496.316189020872116,3424.240048885345459
,,,,,,83218700.049220949411392,3472.775928974151611
,,,,,,81421826.097828879952431,3521.744139909744263
,,,,,,82225169.448300585150719,3568.875548839569092
,,,,,,95827674.228162318468094,3619.101311922073364
