exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,rssv_tbPMP_exact_vns_sol,rssv_tbPMP_exact_vns_time
,,203101837.527713656425476,58.606454849243164,129164130.647436261177063,34.757406949996948,86478087.450432151556015,605.736366033554077
,,203101837.527713656425476,79.279021024703979,104923946.994253128767014,46.931010007858276,86478087.450432151556015,674.169773101806641
,,203101837.527713656425476,96.106245994567871,104923946.994253128767014,56.942118883132935,87206896.460855558514595,748.545439004898071
,,203101837.527713656425476,115.813086032867432,104923946.994253128767014,68.830280065536499,87042422.571019947528839,825.515002965927124
,,203101837.527713656425476,166.231462001800537,100029879.657897606492043,96.625586032867432,90123499.232949644327164,910.122358083724976
,,203101837.527713656425476,191.822026968002319,100029879.657897606492043,112.953145027160645,90778484.562440410256386,998.734218120574951
,,92353716.053487733006477,250.288771867752075,87204537.048813536763191,130.910835027694702,90156148.822855651378632,1085.599709987640381
,,88619133.610058799386024,305.178808927536011,86687284.602779150009155,154.494760990142822,90231726.707663699984550,1171.923802137374878
,,88619133.610058799386024,358.212548971176147,86478087.450432106852531,250.569174051284790,96636191.886487662792206,1250.632383108139038
,,88619133.610058799386024,461.291846990585327,86478087.450432106852531,424.349982976913452,92871357.558904066681862,1326.150367975234985
,,88619133.610058799386024,561.874929904937744,86478087.450432106852531,529.191513061523438,90732383.807890594005585,1408.992185115814209
,,88619133.610058799386024,726.123522996902466,83580741.625803709030151,884.913537979125977,95722823.308454304933548,1487.569957971572876
,,84407269.256939798593521,1011.644196987152100,83580741.625803709030151,907.558334112167358,93431558.634609714150429,1566.245411157608032
,,81345454.812205463647842,1413.700439929962158,83580741.625803709030151,947.054847002029419,98036103.800085172057152,1649.668314933776855
,,81345454.812205463647842,1552.074983835220337,83580741.625803709030151,992.899857997894287,93447746.422139883041382,1724.537483930587769
,,80624260.851485595107079,2134.310765027999878,83580741.625803709030151,1048.959031105041504,95808460.779500544071198,1804.745991945266724
,,80624260.851485595107079,2401.088455915451050,83222532.813279002904892,1087.218656063079834,112657416.890668451786041,1886.448675155639648
,,80624260.851485595107079,2843.238101959228516,83222532.813279002904892,1244.947459936141968,91321645.017816469073296,1961.335574150085449
,,80624260.851485595107079,3055.950237035751343,83222532.813279002904892,1284.287540912628174,93294759.140744403004646,2038.799956083297729
,,80624260.851485595107079,3241.132359027862549,83222532.813279002904892,1348.745368957519531,98584317.450308680534363,2120.607427120208740
,,80598806.890420123934746,3405.696035861968994,83222532.813279002904892,1372.351907968521118,102805226.038849979639053,2205.273550033569336
,,,,83222532.813279002904892,1383.359729051589966,99143585.151829257607460,2292.004052162170410
,,,,83222532.813279002904892,1388.407043933868408,107083993.254842042922974,2374.219118118286133
,,,,83053435.286300063133240,1543.008677959442139,107045903.999765560030937,2463.752190113067627
,,,,83053435.286300063133240,1552.922311067581177,104263189.303723692893982,2553.612951993942261
,,,,83053435.286300063133240,1573.045753955841064,112659082.142502680420876,2647.496899127960205
,,,,83053435.286300063133240,1582.996006011962891,110140317.039024814963341,2740.974331140518188
,,,,83053435.286300063133240,1596.614954948425293,86695315.513885200023651,2819.341048955917358
,,,,83053435.286300063133240,1608.800797939300537,86459161.623081833124161,2895.835147142410278
,,,,83053435.286300063133240,1822.685580968856812,88164440.837032809853554,2977.584816932678223
,,,,83053435.286300063133240,1843.491586923599243,88683974.651267766952515,3055.105386972427368
,,,,83053435.286300063133240,1851.141921997070312,90001572.711059078574181,3138.750944137573242
,,,,83053435.286300063133240,1868.936779975891113,92652672.349812492728233,3221.968017101287842
,,,,83053435.286300063133240,1897.576770067214966,91272848.111025527119637,3303.731915950775146
,,,,83053435.286300063133240,1914.416805982589722,91415625.566097363829613,3388.130172014236450
,,,,83053435.286300063133240,1944.563244104385376,98304170.279166132211685,3473.914596080780029
,,,,,,90351372.112018987536430,3557.040106058120728
,,,,,,102752165.304636895656586,3634.704327106475830
