exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,rssv_tbPMP_exact+vns_sol,rssv_tbPMP_exact+vns_time
,,224907106.398877888917923,48.313103914260864,138746599.543941915035248,24.679202079772949,,
,,224907106.398877888917923,65.216061830520630,138746599.543941915035248,38.078778982162476,,
,,224907106.398877888917923,85.140877008438110,138746599.543941915035248,50.737500905990601,,
,,224907106.398877888917923,107.206897020339966,42039506.635259255766869,68.321907997131348,,
,,224907106.398877888917923,161.478486061096191,39471792.429836884140968,104.266083955764771,,
,,38401902.394289419054985,199.859959840774536,39471792.429836884140968,158.393507957458496,,
,,38401902.394289419054985,256.134173870086670,38927003.328490041196346,228.341414928436279,,
,,38401902.394289419054985,327.967154026031494,38927003.328490041196346,354.300754070281982,,
,,38401902.394289419054985,367.244057893753052,38927003.328490041196346,397.195419073104858,,
,,38401902.394289419054985,447.940078973770142,38927003.328490041196346,439.353452920913696,,
,,38401902.394289419054985,535.960361957550049,35888068.291029557585716,515.428970098495483,,
,,38401902.394289419054985,639.029011011123657,35888068.291029557585716,623.281294107437134,,
,,38401902.394289419054985,693.850563049316406,35888068.291029557585716,727.011744976043701,,
,,38401902.394289419054985,801.519276857376099,35481596.445859305560589,839.930331945419312,,
,,38123573.314802229404449,1055.399445056915283,35481596.445859305560589,1064.434186935424805,,
,,37383175.950873106718063,1458.193387985229492,35408785.282390899956226,1178.096780061721802,,
,,37383175.950873106718063,1577.710265874862671,35351737.512065984308720,1295.048355102539062,,
,,37383175.950873106718063,1956.502043008804321,35351737.512065984308720,1479.853188991546631,,
,,36119729.130843624472618,2634.827195882797241,35351737.512065984308720,1598.045047044754028,,
,,36119729.130843624472618,2738.384366035461426,35154180.752453774213791,1739.833092927932739,,
,,36119729.130843624472618,2926.016625881195068,35154180.752453774213791,1811.310760021209717,,
,,35559332.047621294856071,3315.589354038238525,34996043.822144635021687,1896.481374025344849,,
,,35559332.047621294856071,3419.783931970596313,34755356.611448891460896,2008.353513002395630,,
,,35559332.047621294856071,3540.148684024810791,32759362.933247573673725,2193.412276029586792,,
,,,,32759362.933247573673725,2249.471585988998413,,
,,,,32759362.933247573673725,2321.303601026535034,,
,,,,32759362.933247573673725,2374.907969951629639,,
,,,,32759362.933247573673725,2588.028291940689087,,
,,,,32759362.933247573673725,2698.253283023834229,,
,,,,32541400.391289256513119,3123.697957038879395,,
,,,,32541400.391289256513119,3132.813316106796265,,
,,,,32541400.391289256513119,3138.957961082458496,,
,,,,32541400.391289256513119,3162.926393985748291,,
,,,,32541400.391289256513119,3337.855528116226196,,
,,,,32541400.391289256513119,3375.450356960296631,,
,,,,32512304.404703769832850,3611.592447042465210,,
