exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,rssv_tbPMP_exact+vns_sol,rssv_tbPMP_exact+vns_time
,,138260382.022744804620743,47.219982147216797,125561589.603978514671326,42.436634063720703,,
,,138260382.022744804620743,63.984490156173706,125561589.603978514671326,60.157072067260742,,
,,138260382.022744804620743,83.940223217010498,39985144.408592328429222,82.501023054122925,,
,,138260382.022744804620743,102.470417022705078,39985144.408592328429222,101.002645015716553,,
,,138260382.022744804620743,147.935423135757446,39067382.361899301409721,131.586220979690552,,
,,138260382.022744804620743,176.575332164764404,39067382.361899301409721,149.372493982315063,,
,,138260382.022744804620743,209.257705211639404,39067382.361899301409721,174.124617099761963,,
,,48408850.127527341246605,284.483166217803955,39067382.361899301409721,206.715081930160522,,
,,40082669.458380445837975,349.289354085922241,39067382.361899301409721,293.393455982208252,,
,,40082669.458380445837975,418.700211048126221,39067382.361899301409721,382.461677074432373,,
,,40082669.458380445837975,487.968163013458252,35215946.339412793517113,502.972393989562988,,
,,40082669.458380445837975,668.635931015014648,32225548.441099505871534,824.743847131729126,,
,,40082669.458380445837975,790.057517051696777,32225548.441099505871534,987.646307945251465,,
,,33863595.504396513104439,906.794046163558960,32225548.441099505871534,1107.569226980209351,,
,,31979354.146983534097672,1965.465481996536255,32225548.441099505871534,1306.273144006729126,,
,,31979354.146983534097672,2161.557744026184082,32225548.441099505871534,1461.713918924331665,,
,,31979354.146983534097672,2318.924513101577759,32225548.441099505871534,1568.556373119354248,,
,,31979354.146983534097672,2602.073991060256958,32225548.441099505871534,1683.280242919921875,,
,,31979354.146983534097672,2737.665953159332275,32225548.441099505871534,1816.038454055786133,,
,,31979354.146983534097672,2871.488826036453247,32225548.441099505871534,1877.955250978469849,,
,,31979354.146983534097672,3042.584145069122314,31518465.739359918981791,1967.900455951690674,,
,,31979354.146983534097672,3163.249898195266724,31258884.201114781200886,2260.158785104751587,,
,,31979354.146983534097672,3353.078390121459961,31258884.201114781200886,2313.106228113174438,,
,,31979354.146983534097672,3443.316801071166992,31258012.156083371490240,2758.817414999008179,,
,,31979354.146983534097672,3580.576034069061279,31258012.156083371490240,2766.513633966445923,,
,,,,31258012.156083371490240,2848.142287015914917,,
,,,,31258012.156083371490240,2865.141427993774414,,
,,,,31258012.156083371490240,2948.049340963363647,,
,,,,31258012.156083371490240,2971.569345951080322,,
,,,,31258012.156083371490240,3007.749450922012329,,
,,,,31258012.156083371490240,3113.149373054504395,,
,,,,31258012.156083371490240,3130.353450059890747,,
,,,,31258012.156083371490240,3169.738644123077393,,
,,,,31258012.156083371490240,3254.058200120925903,,
,,,,31258012.156083371490240,3274.577425003051758,,
,,,,31258012.156083371490240,3470.926389932632446,,
,,,,31258012.156083371490240,3485.897403001785278,,
,,,,31258012.156083371490240,3509.509463071823120,,
,,,,31258012.156083371490240,3521.761451005935669,,
,,,,31258012.156083371490240,3548.086079120635986,,
,,,,31255355.724789626896381,3627.767544984817505,,
